"token_address","name","symbol","decimals","logo_uri"
"0x770f0eBF03E277F491c874636BE695EF697ECEd7","Kekius Maximus (kekiusmaximus.vip)","KEKIUS",8,NULL
"0x2F445A25740aC17090BE8a41Ca6F69c2CC62856c","Alchemy","Alchemy",6,NULL
"0x986212C7fD5117c4bbACA7AedBE0610501b32fFE","House","HOUSE",3,NULL
"0xd2f58f8a18fc9636f9122dbdc7e0a5b0d3f9fd09","GROD","GROD",18,NULL
"0xEabab12bb6A3A31341F763Ee4495535990EE3dcF","Bad Silly Cat","BSC",18,NULL
"0x47a1eb0b825b73e6a14807beaecafef199d5477c","CaptainBNB","CAPTAINBNB",18,"https://dd.dexscreener.com/ds-data/tokens/bsc/0x47a1eb0b825b73e6a14807beaecafef199d5477c.png?size=xl"
"0x8193acB1b2Fc2060de765Ce03aeB9A393A737bb6","Assisterr AI","ASRR",18,NULL
"0x467D28B6f3a96fC5c122434d5dE860bcd1B83563","Moolah","MOOLAH",8,NULL
"0x5D3609b39c9D308152f16582a4C6306B77f04444","The America party","TAP",9,NULL
"0x39Ec28CD2EA71e3B21B69D6Ca631414F03d7acdF","TENGE TENGE","TENGE",18,NULL
"0x945cD29a40629aDA610c2F6EBa3F393756aa4444","USD1DOGE","USD1DOGE",18,"https://coin-images.coingecko.com/coins/images/55975/large/71e95ad1-ee67-4427-9050-ceaca8713d2c18056700683897353050.jpg?1747903627"
"0x1bD09A517bA302B866AF46bF6B8DAe348F85C68f","Baby Pancake Bunny","BabyBUNNY",9,NULL
"0x133ebe63E30b34056cAbEDeb1EC0d81bB63D4444","DeAI","DeAI",18,NULL
"0x648026E808b63470D29A908e3AE5900069c7BFC6","moonpig","moonpig",18,NULL
"0x3011b1bC3152a4641BebF4E74e1FE9cF707789d2","pump.fun","PUMP",18,NULL
"0x02c4bd23E1c3211885373dD8A947387CC67EC3E8","PI TRUMP (pitrumphub.com)","PI",8,NULL
"0x4B0796074f4c33bf530bD4eDC23a8D1604384444","Binance ID","ID BINANCE",18,NULL
