"token_address","name","symbol","decimals","logo_uri"
"rV9fxScL5mm4rQVhibrwVEA5jNjL5yJEe1kRkD8pump","Potato Robbery","PR",6,"https://ipfs.io/ipfs/QmSAcErJH2Beh2AakTbvNC2vPZ2XNxQZWbwzjuNPwiqfma"
"9tsPjYrAKASBoALz6KHiCSukFkSWxoJZMe2F7mSapump","Ozak AGI","Ozka",6,"https://ipfs.io/ipfs/QmQX1nKG74qdund43vHnood1Kz8TA2wrmydVdLQD9MpWUL"
"AtNpQssJEGVJyanKvn9pnaEhpxqCgo9XjN2rbRVFpump","TokenZero","TokenZero",6,"https://ipfs.io/ipfs/QmYASK1DzdV7cSpKyDavhtfegbS5fX6kDqKGnnqAZvSTog"
"83R11iC2ccywBi9cEBfPTQue4HrBiyD5T693gYEDpump","unstable yuan","UCNY",6,"https://ipfs.io/ipfs/Qme88F1CQseCfPY4qWw9wTBp3HVrW9jhaNnMv66Wzct1Jb"
"7CKMiSz927zN7ojjrP4pk6Tyxnuu7ft2c8iRCq98owaH","Not Eric Trump","ERIC",8,"https://ipfs.io/ipfs/QmaBJ2qjQw1zjKKYSogM9uWTVz38CzYE5fXUN9yT82aYxW"
"6z4zXuieTH4wzGMyEvfUyZUQ669fmMFB6uZFKGCfpump","Trumpian","TRUMPIAN",6,"https://ipfs.io/ipfs/QmaVLzZcpbDsWxtGwmoJQiWRgiZMuRQKehy1vid4CDj7Cd"
"mY9pKPDXoPN12AMg3FAxefUQ4ckcsUghpP8nrsBbonk","Watch/read chiikawa plz","WatchIt",6,"https://ipfs.io/ipfs/bafkreif674emebwbybouaoadswrsrawd653b575vtybdys5uywg3r4rwdy"
"9Qftdufye765LpPn6rZWYj4HTML7gX6QRBtaC3tzcFUN","KoalaCoin","LOWKEY",6,"https://storage.autofun.tech/token-images/05d1b38b-ba6d-4340-9b69-65289f329d2e-koalacoin.png"
"CRn8UfeXuGpRXV4Qx2uKSAfPbb1awaMQRSc15MqNpump","PUG OFF","PUG OFF",6,"https://ipfs.io/ipfs/bafkreibnintuliohksojv4x3ljvzz5vbdnsqxqffnj7xv5jnpffemq6xae"
"66JnFZJWCkmQzZnRAbWoEANxj2prKtZAzecCNwcQpump","Most Wanted Coin","Wanted",6,"https://ipfs.io/ipfs/bafkreiebd3jmyc3phuodsyax44w2qp4h6flovt4q3fxfam2sk2dk45sc7m"
"vciRHuz39b8AupG92qHX2CryMDjB9pyFEU7qG1qpump","BACON EGG AND CHEESE ","SOMETHING",6,"https://ipfs.io/ipfs/QmWn4VtE9JNzK6mXBpv69wRtNk8BzK8N5HLZCYuYhbjh6c"
"GUNVeM67K8hJxCu3yaELmxNLwbuFPWG9HWBwpJwvpump","experience","XP",6,"https://ipfs.io/ipfs/bafkreihxpnubyzd6jmt3xcaymjqxatgfzn3vwagrbt3puhmp4zwjtaivji"
"E9JnfGYhP3ubBJwd9DSXDgd1NuhYbZm22rXcPrSepump","elon maskㅤ","elonmask ",6,"https://ipfs.io/ipfs/QmcTbM2wTf1ZP3GFaLHVYLErQ15zTxF4TJBiVqQXXt3wqt"
"97yZxneubk1Ai4mKqmj5hr2NAYCyPkQAkARP4kfapump","T800","T800",6,"https://ipfs.io/ipfs/QmbJzg8u4fUBH8WYiGfDVoZ7rjcCeMvF1zZkN1Ly9i2htR"
"BAJTaqHjzR4b7bT9a14TzuHDo8SdvmwJwAyiQnLMbonk","Bag Work","🎒",6,"https://ipfs.io/ipfs/bafybeievbdjonwsgnbfs3f6tqo7m3ydjfsq73qac7gdgy27ybyczhvsn2i"
"2LpT8MKoPo9BatTpe6nFbtbQZdtnbuuQSNvJarBwpump","Greta Fakeberg","FAKEBERG",6,"https://ipfs.io/ipfs/bafkreietnsgbr6djunnl22v4m6lazahopv7xdts2bjy2b2rnk7jzkfl3hi"
"9MRuw72ffnAKvJmeEvAa8FM7SLC31DMphBFLkjrBpump","Bwezos","JWEFF",6,"https://ipfs.io/ipfs/QmfZRZz4tA2TJ5oVN147utjaWek6VEeSnRSeThLqv1Sq64"
"2SUgNno9baVCGWYHnspp4CiZhmnXtNzVe5UujSJ8pump","The Solana Era","SOLERA",6,"https://ipfs.io/ipfs/bafybeiffdyaucseqrrvy7niwue5aemlyrdmnni6jbjnx2x7ztgpbwltwyq"
"2wUkdqUCetXu1m1AGcfKRwNEyEYehqM1fxirEdgmbonk","@grok find me a girlfriend","GIRLFRIEND",6,"https://metadata.pumplify.eu/data/QmQ1WRcgL7SgntjHsPHpB5NHDghaFRaFGD4GnEy3F6uARm"
"56uN1KpohXtMxsoxt4XMvjxfaUh9pFV7uYrFy7rk6ahH","Melania Tramp","TRAMP",9,"https://arweave.net/KOj1ypeCKQeeJehKAHFOdIvT5gNGc8D9JMqg7sbz0LU"
"CzKP6gwrM8GnPs8tKBFjgD72nwgxJrsX2NcEgdAMpump","The Dress","DRESS",6,"https://pump.mypinata.cloud/ipfs/QmS7bBUSvqaYdDnN99gE12X3w2rB6nJhQsErYs1DYjsAsD"
"Fx7u6fczw6dKe5xhmdP6dG4dxjMzidBMeUy4bgG8pump","YungElon","YungElon",6,"https://ipfs.io/ipfs/bafkreigb25mhw356fib4mihqx6jpf3vx43r3w6wnbb74lzd3gh3aasm36e"
"9h4QY7fkPyEWzbCSKGsM6mo8ZdWTJRnkx9v63xg6B7kV","Melania Meme","MELANIA2",6,"https://rs.debot.ai/logo/FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P.webp?x-oss-process=image/resize,w_128/quality,q_80"
"G8xKB4WW55yCk1bE5K54M2vqXf4X8CTqAuyCj7FNpump","Genx Quant","GG",6,"https://ipfs.io/ipfs/QmUCjbYD6EyMJT1paNqRQmQ2ZRYHvAQqdyzKCVx1Nx94jt"
"3FdSgGk67hjjWYP3RyVi8Eux7gbJ3zHUpeW2QRSKpump","matt furie skull name","SKULLY",6,"https://ipfs.io/ipfs/bafkreieikhf3t47gk6zky4darezfngrdfsuvhlvrhv7iljwx4yehgeafua"
"4zkVZ25Z5uG8nQCeCHF4Y4b1SsekJ9uvQMw1qgAopump","YOSHI","YSI",6,"https://ipfs.io/ipfs/QmVKduQ4uJCnAu7PPN9ERQfVii5XLF1UyjF7M3urSnAEMt"
"3PT5suAAEMjsQa8vBbgUEAF1kBuUp1rNAP7SAzbEB9Ky","PORNHUB OFFICIAL","Pornhub",6,"https://rs.debot.ai/logo/H6H1fkpFhGigDGTS1W6zWzn8gwJWpZsamUXzX91dpump.webp?x-oss-process=image/resize,w_128/quality,q_80"
"996FrSXwEZmjCsSYiNsrVs3TcLvctxemCpjm9rpZpump","Gasprominent","GAS",6,"https://ipfs.io/ipfs/Qmc47UdWXivdsnNjx4iKe3w7qEsY67waG8vYFdDoou7SUx"
"7pvoD4YkUfTBTzTaT5U848S2ko5gPi38uJutQhkoKqCJ","dog","dog",6,"https://pump.mypinata.cloud/ipfs/QmURTbLcRU3M52L8zEtz4sNY7Ea5NK4gkSLpuxk3h5kZMj"
"5cqjbhEo6ZBRBK2Rhu1dRm51yx2PcmHuwQjAbZcDpump","Cum On Our Kids","cook",6,"https://ipfs.io/ipfs/bafkreicsfxhgthotxxh23dgjpyfvwfvge5azinb23dwurqwdbednzqzogm"
"G3jtuJCLRqjtRd4R6FmpJ3mwdH3Y6pPKiVPbiBTdpump","POOR NIGGA SEASON","POOR",6,"https://ipfs.io/ipfs/Qmf9GmMCnahr4xMgYqbUPa9dP5YnKf692zGeMHH7zN7ZhK"
"6e7UKxAV9PTEpUkChwXdUNnPMFWefaWrTeQm5qfepump","Proof of Pump","Prump",6,NULL
"EstRo3xNCFLbaqcBx5rvim8xDQn8PzSsfD5EvCfnpump","ALIEN LANGUAGE MODEL","ALM",6,"https://ipfs.io/ipfs/QmUsP7v6jLzDjxEqeF3STjKn2Fv4f7i8orf7nUVExEAfK6"
"FQ5Zx2SvkDXJR5S7crXuwm2DUh4TcD5qqUbBLKFZpump","1 tooth sock","1tooth",6,"https://ipfs.io/ipfs/QmWeVy7uQTx42AAsQ4dWXLhmHaJnzxfnEd8pMUnS3XewLP"
"5FABKsPfDyFocfBLHa6GWuXeUwp2ZEh616aDmmzr4xqM","PAPERVIEW","PPW",6,NULL
"ByTT6AkPgF51svoYZMWdEkuV7jZtmjanKKaXpB8Wpump","Cluely AI","Cluely",6,"https://ipfs.io/ipfs/QmTj51VZ4Ye9iib9izfEf1oinE1FcPLszkRFnqXdqVcGSE"
"5HJetRLymCAFZzF1LW4MeBXeLzDUX19A2qYvdWgpump","ASSOL","ASSOL",6,"https://ipfs.io/ipfs/QmaE7Bxi3kzMHwkjpVRGRhxEHME2QRFDxDYQbYaTmCMwtH"
"74z3DvfuLM8VRJBEceHTPC6iabWSCyitCefov5sUpump","Magical Aura Nigga","MAN",6,"https://ipfs.io/ipfs/bafkreidfecdbmhhydumz6bcc3ekarzl66qnkrb6g3m2luox7wxjzhxgzba"
"88LGtYmw5sqYTR7LSpn7UP92BB58ogcXpFKc59Rcpump","Deportlon","Deportlon",6,"https://metadata.pumployer.fun/media/kchF9RM_riVP"
"CnYvD2G2sEvRqX7eBUy37aUewWBNsSfckTs8fRhfGqgx","Mindava","MIND",9,"https://ipfs.io/ipfs/bafkreib5fgnt5zhp4z3cpy3v44h6rqewken2xpn2twvir3h473poqtazfu"
"Ggn2y3zfwiVF3QsWnEzPC7z5PHov1v3gyiQe6LUxpump","Official Dusun Semilir","DUSUN",6,NULL
"4aYz3Ym4uuHHDhs24dCpSthAmDsnNuptCgQNXXU7pump","Spending Porn","Spend Porn",6,"https://ipfs.io/ipfs/QmcCuZGaew3xYSATg5jqhH7s3MrUjhUfquSjPK86F5oR8e"
"VvGjRnFme7GNH7sTtsKYBKz1H4QiPyW6iD4kkttpump","United States of Drill","USD",6,"https://ipfs.io/ipfs/bafybeicrd4r4mv3lgtfpw67jmyrnqdgkomtvhwgr4agwnkmhp4ocbce3ra"
"HApyVVtUJCQ487HXkXWzzner4UmvM3m5rAGNr35FXpVq","Official Barron Meme","BARRON",6,NULL
"9R8csxiLaTLYTqNBkbW6TAcmKePGV2gTUYcUGQnRpump","First meme made in 1921","First meme",6,"https://ipfs.io/ipfs/QmZjFdeA1254z2oTiRwEA8ecXAx7zyBUQPmYT1ec4Kdmgw"
"AErPjnZ54GExFeSJMiNX8ESSpiyg9RbrZEainkvPiFoE","CLIZA","CLIZA",6,"https://ipfs.io/ipfs/QmfXcjTigFemVz2ib826jyGNPvAoyrQjBeW3CmPiDKeAjk"
"8T7RjdERSeQNqUhthUgEEUr33g6xdVVxND5YmgjSpump","First Ever Meme Currency","Kekels",6,"https://ipfs.io/ipfs/QmSpPfCzK3Zu4aJp9XMmxX8Yc1avJdSgNi2tDPLbQupYLj"
"ACsmu2hbkMZ4kmAMqJ5GwuiVCgv1Z3pQnejqSK9Epump","KYS","KYS",6,"https://ipfs.io/ipfs/QmPBemhcdiXgYQY9gfXG2gusxJ7oigEKPYPZ7qVCh15QNg"
"DCVrTFEmnV4Fj5njguU9h9EuA8HcTJNkUEmk5bv7pump","Trash Quality Memes","TQM",6,"https://ipfs.io/ipfs/QmZG6e34YJYm7Tds18FmFNQh2kmSP2bZfPpTdYQX4h9HQf"
"FmQkgxKbcULZ5UGrCE5ArL5FmnghYHQdHhPjJoa6pump","this is going 1000x","1000x",6,"https://ipfs.io/ipfs/QmYkSh7L3yX3n7U8726DE1nP2fkgk3454Sn3M3hGkXMqoU"
"2qAx8nkVedYNNff19N4CZZJT66etYgSyWcYvNasGpump","phantom mascot","@ghosti",6,"https://ipfs.io/ipfs/QmcHKVFMP3V81X7uBQ5mxq5E6aiDa1RZJfFmMhUwHoawJj"
"3XAsVenR7eGCZSNjfoKVRKj5NmadHUgnzHt5Cmn2pump","TRUTH TERMINAL CAT","SEZ",6,"https://ipfs.io/ipfs/QmPTZMKERT94YQeGgMc1j6nqmXfMnWndUPvcdbFVrbqZLz"
"Brx3Rj2uFBq5G2G41BfxiPC53gT2w3nhgiHwjGdGpump","Official NASA Mascot","OSBY",6,"https://ipfs.io/ipfs/QmYsm57kxbaQjcWq8aa2tKMUgU9rTocRTHvw2joE41jjbT"
"Ap2wXB2witmserDo9LCn9wPwhZigL32mFkWdzjc6wLYL","DON'T MESS WITH TESLA","TESLACOIN",6,"https://ipfs.io/ipfs/bafybeiccqdzmghkib2mj3ipvwc2ggbqebh5xthzz4mjj2iofrsnp6buthy"
"BbRsjbUxqyeDhEgchpKvGsTuTSCB5yeGhMUJ5pFhpump","Steve Johnson","JOHNSON",6,"https://ipfs.io/ipfs/QmeMrUs7bGxX7KV4iJveFPK5WBduPemvYkBoaPEoeED68A"
"6X6HamvT1Sw5mGmW7zix3FGyhhbRbbTdpH5GbaJwpump","no limit","∞",6,"https://ipfs.io/ipfs/QmXLFZR7cS7V83LHdxTxqRH7xpA3ewx4dtiKMfbYC8Eip3"
"DbM1XzMNWNNxXA3twboz4EfbpmDHvREw1tRcfmcgpump","time to drop a really big bomb ","bomb",6,"https://ipfs.io/ipfs/bafkreia5uhb2q4vjqqtbaon7gazovqr4z33tjjnhho5b7ejqzcey6rwvnu"
"CA2bDQm9UM7vggCstucEuhnhNksz5pdLtWE3KusSAe6s","DAWGZ","DAWGZ",6,"https://ipfs.io/ipfs/QmdxidCQYmvkkgGzoccMPAEtHuSnjQZUwnVFuxFNyTR7Uo"
"5CdAse2YwbbvXSkW3usPFJu4cx46TJe3DmwTg4WDpump","Vladimir Putin","PUTIN",6,"https://ipfs.io/ipfs/QmRn5cJMLFbVC6EAh3CH5DUZrtUsQPJArC7ANQfsNaGK31"
"6X3deLxSBmRrpTWtYUsymc9kNRUiunZnvpvpXaHJpump","NEW CHINA AI (VACE)","VACE",6,"https://ipfs.io/ipfs/QmXFCCtVqQSFSfgsUmigjeUvZrynBm683gkkiaPNBRBeA4"
"Fur3yuce4XVgcc8AjdTJCKvhvPU8zwdeVUqnM5Sb42At","shadow bunny","SB",6,"https://ipfs.io/ipfs/QmbECboUk5meagJUQLvKYNm3D8YhnhmMcGAyFmpyQq2J53"
"7q42HY2cSRKxTUSJsahmUPf3bNvsk43sjH7jmeQtpump","Swlipped","Swlipped",6,"https://ipfs.io/ipfs/QmYE7qfotbkepzpyJhKGx5gGbDdxpwsuwEdmYReGuWr4JT"
"7wtP6P24w9tjwxsp4NtDV4X5xNvsx25mxCrkDRgpump","Elon Leaves DOGE","EGONE",6,"https://ipfs.io/ipfs/QmVBGhqPr6HPAapp3S9WvYmWdyaYW2R1nqGzbwbMNF3FK8"
"6svXRn7Uo86d3B96VXt7tUXrjnDHYhoDAYUWrM6kpump","VBILL","VBILL",6,"https://ipfs.io/ipfs/QmSqaBLxXE8VuzfZ38F1JCYW35oCBmTEoQwGm7ttXWvUvN"
"BVBtphnM5XzJic4gEzJurhSkiak9jqRDEbr2WHe1pump","TESWA","$TESWA",6,"https://ipfs.io/ipfs/QmWTEG9a8buzxYdtU4wKwYqTUm5MX2LnmxuWZQuiSNWUC6"
"6VvREr7PSTjN5kyaRAWtDT3vR1CyFoUYCyrfrJPGpump","Justice for copper","Copper",6,"https://ipfs.io/ipfs/Qmd9Q4eRTVsvUBKRZg9CBpCT8oAPjTBNWtXRQdarZFBnXw"
"HnkekhXCeboKi4XR78x6nEBbKdqPeXV8xL7XPtoJpump","SloppyPenisYogurt","SPY",6,"https://ipfs.io/ipfs/QmWqYXZJsbw3c2AQYTGggTVjGZ2kFMy3FUmH8dUJoid8gq"
"kWL3ehupM8X6rWi8Q8BehqdyqsphsjKsxABpSaDpump","XNews","XNews",6,"https://ipfs.io/ipfs/bafkreibjxjwvikm2iu3zs2pgjgmmayw6ewywzbjdwtbaxfecdtitmumjzm"
"DYMg5dgGjq2MTj2HoEiBuzYwUGVPSjuc1zgvgkXrpump","Solana For Kidney","SFK",6,"https://ipfs.io/ipfs/QmVJzXr7dR2QdnwEfXCkik6roNWWhYdrSdEuw98aKoxW6G"
"8R4Qp1GBM55Df939zkbf5m4xUrjWbgzpu2RqqSK4pump","Chark","Chark",6,"https://ipfs.io/ipfs/QmZGpXrsyyYcHLykPAsmLKW6ERgxu4v9cYJGqcKpsDTq3U"
"GjYqYppTw2g66hpYYcrd9dEgjELScL56Fbd3zhg12n7s","TESLA AI","TESLA",6,"https://rs.debot.ai/logo/3p1s7uH7qh6Q2kLwv2NG29PjbRzNkd6dfqx9DsX4nZn9.png?x-oss-process=image/resize,w_128/quality,q_80"
"7sJ8Q9i3K6yzCXERRcQsMxNMtAM8WzSiYXt1J7sapump","JimBeamOfficial","JBO",6,"https://ipfs.io/ipfs/QmebWhCxm7XooSKpMxSwbD3FCsSeXHWx16NC1vTfPNvTby"
"B5QiCod1SDx8Z8WtKNP5gK2Y1x96ah6kbCqxLNoSpump","The Real World","TRW",6,"https://pump.mypinata.cloud/ipfs/QmWiQmEkGiD6aBz1K7x9XpKW8xrHrajto2roz2NKNduYsX"
"GKEB6QQiLZxj6sJV1KZd9wjs45v9mW3F9kSU1Pnepump","Iggy Pop A Shirt On Please","IPASOP",6,"https://ipfs.io/ipfs/bafkreidozraevjmuh6yi2rlx5gx3c7yhcftp7dexodkh5oovhujsedqtde"
"H4WTSr9tQo5QBu52CHmNnSh1X5uxgEkeNdjpvyBnSkV9","Lego figures ","Legofi",6,"https://pump.mypinata.cloud/ipfs/QmWLr3LbTkH1hwwFNJJSWg2ouZSxECmefbdqYV8SVLo13e?img-width=100"
"C3dfev7UhZhpGXAAg1LFx8MNAj8iZxZBTyGPUVh9pump","Super Straight","SPS",6,"https://ipfs.io/ipfs/bafkreiajlxdw42mv6osxrhsfyjeni6riwjwwvsox7trrcvivy5djk2cdji"
"Fhvnn98iAqsRUrUQfHtYPvRBfRFfuvYo4w79Ycxepump","Piggy poop balls","PPB",6,"https://ipfs.io/ipfs/QmPhLaViNKwEZvPZf48mJrKj5SVbzTTKb3Zzh9LK3MTdyx"
"HKC1px3VWefZ2pPcCTuPA3g6GgYGGVMkhGKiLNNspump","PumpWork","PW",6,"https://ipfs.io/ipfs/QmWHjsUSLaB4LJHXd6HZfA6A6MTaFAZXcmBhGkrJc4G5DT"
"E2Sw592vmHcAU76Tg3sV5PvhJ1UtNaioWMr6wV9apump","Dodge ","Dodge",6,"https://ipfs.io/ipfs/QmZNv9fRJqE5CMKshgyTeFPu6BffCCQxM43ffQLW63Pn8s"
"DdnPxXvw8CE31vuZYMoGALoRXfkRDLgJz2u9pVTzpump","shiba pnut marine corps","SPMC",6,"https://ipfs.io/ipfs/QmRkgh4wLpRaHRFiAMvfPHtHxqC8apiHdPB2rgcxjmaqSU"
"DLpjJWtVrJgFHEKB9cwtVihAQ1B9ceZtDUJpmWxhpump","SolPaid","SPAID",6,"https://ipfs.io/ipfs/QmPNZzDUE3m3Mwm8TabzhbzusQXn9Qe84ACXQFYyrCuDMA"
"DWB7u2oFmyWjwu4odKge58WJX2BaTiGAhTu3Ykthpump","greater fool theory","Fool",6,"https://ipfs.io/ipfs/bafkreiamtf3cte5owosf6h2egfd6r4wstczoqvu26f7zszmtxr6tcpvq2e"
"4ACfyTsaW4hAAGbrBAMY2hynfR3jyRQkPKEseHfXpump","Marvel AI Companion ","Jarvis",6,"https://ipfs.io/ipfs/bafkreigb342ev2gmsduqtopxxqvvkgu4jtawazb5xfo3cb63kwxmz6debq"
"9hePGYBA7qsFNodjHFE9Wxkh4hf5WK6mhPfH2CzEpump","i'm not poor anymore","RICH",6,"https://ipfs.io/ipfs/QmYXbrvCaApTDD4STNYZBE4Q9Hf4FKUFrG8sMKDYGJho6P"
"Ai7PYTMuh2xvJJuFvbu1TA923vhB6pBiH58VP2gibonk","coded coin","coded",6,"https://ipfs.io/ipfs/bafybeie3p4wmkxoyarflmyqdcsvvhabzujiolwz2bhy4ubauvvvzq5ocma"
"GQ5wu73HFmSkCt6YyKm5ZwaaBpqqBsQ6Pecgyq6Wpump","$Fliki_AI","$FIKAI",6,"https://ipfs.io/ipfs/QmcGfpbJZyaPktp3Vzf5YFb3eTSVda13iyvNLbviSPEUrE"
"5Q8KToioqqg1ZDaqRvPZ4KuFKA3i8RsjAJUuhg43pump","New Crypto Murder Canada","MIRSHAHI",6,NULL
"YZdScY6yT26xNJPBoi9BL1WjZqYAScr39MmPeZmQRe7","Degen Apeing","$DAPE",8,"https://gateway.irys.xyz/Gr97lE2g8aRGyHa3fszk7OFCc5ChvIGAul7nX0v-mBY"
"EAw3n9rBpYTkdg4GzRREjvWcXnz4j1zaGaiRMPJCpump","mōrikami","mōrikami",6,"https://ipfs.io/ipfs/QmY5d5rFBTheWNvwbEEbfMxQRK79rQYke8W1DyhCTvGsQz"
"AR2yqUM4x4bX2HdfwaRT4j4KQV2L4WHazLKzg3Nkpump","Oxygen Protocol","Oxygen",6,"https://ipfs.io/ipfs/QmPESoCv9yayfVuEbhGRiLMtvJVcJfVg2Yb2C6Vzjwdk25"
