"token_address","name","symbol","decimals","logo_uri"
"EQCk5RfY9KEby_X2Fp4qX1ATNILJfzYVcAwaPKn0QMYmPMDq","NIKTATE","NIKTATE",9,"https://cache.tonapi.io/imgproxy/zWF9Ym_duTW928bsNNxfnCZ_UgiTUcRj5fcn3xKhses/rs:fill:200:200:1/g:no/aHR0cHM6Ly9jZG4uYmx1bS5jb2Rlcy82ZmFjNDM1MS02OTY5LTRlMWMtYTkxMS05ZjY4OTBjNjExN2UvNDc4MmNlMTUtNDQ0ZC00YzVmLWEzY2EtMDMxNjRmNjAzMTJl.webp"
"EQB-gy9-xUeBBYlDvX6g-ak5cQfLR0XnyNNzo-SzZ1AbArrF","Danladi","ET",9,"https://cdn.blum.codes/e76a1663-9072-43de-9462-0e4bba060396/307e717a-dd96-49af-9325-d4c36b9ef8ce"
"EQC2qJyv2sqhbeZqok1TdZP-t-6o3vOezo6XzSOmFaoZrWAu","Boom coin","BOCN",9,NULL
"EQBXg5VyQCq6Q1uOmb64AbT3YCx_Y844kZJ-ty6uu7EZ821v","TRAMP","TRAMP",9,NULL
"EQBVFAOHCv7y8_ydAXr0n7cSVcA8c6xyzWGsAqUzWe8mpKp5","Sun","SUN",9,NULL
"EQC0wM3TBconw4Bt_n2oIRtmgpHg4bEKGM67w9XRoqHfKoRT","CS2 case","CS2C",9,NULL
"EQDUpaO99yKaqX1V4zmTRJdu-6xy3a8pOiE5Ml1EQNOaJxAO","CTB","CTB",9,NULL
"EQDO_Fo3dJ7ET1O2MRpG2-H2Dc4P2WC58atSaLjy0kJBtKls","Mintstore","MINT",9,NULL
"EQAi1dgs55QcXb3GctB2JKkFUDMmSFqB7EkQYmivfeLVW1h4","Perspolis","REDARMY",9,NULL
"EQCrxgJinAk5yeDd5LZZqjn2XGd5Ue7j_sT88gKdcE1hDiVl","TRUMP WHITE POWER","TRUMP",9,NULL
"EQCd8HVwOLJtFd7XuzAxpf6SDdGHcof_lJZ0m2JKkc792H4q","Sodcoin","SDC",9,NULL
"EQBVHGeHg1Q-5it1ZknKSyQrHwyL-Q8EpwV__TvbTVKL3Ppg","STON","STONKS",9,NULL
"EQB1X8jsM4iiUOsDqZj8pdW29NOqfeTxn6km9zOBPuHmpsj9","Usdt.D","USDTD",9,NULL
"EQBPUgjVv4vG_wyq3pmh6LQPJkc4NQ8XZpbincxUw5EZG_yv","SNAKE","SNAKE",9,NULL
"EQAnUUgRSLve8sJ0I08Dt3IGb8YscdEGfwPF3Eld1DxXC9rW","BMW","BMW",9,NULL
"EQAALXTvI1chAnkKyXMEofPyIh4fEegy3o9HBcrty9ryS9Z4","Droptas","DRS",9,NULL
"EQB6gaKCgPNkThKhxc3dKQt_CReuGav49YBG8K9nTxlh601w","Volvo","V40",9,"https://cdn.blum.codes/02fcc7cc-81e7-48b4-b8a5-ec1f498a119b/030f9211-1b18-43be-b906-9390eb1165ce"
"EQA9BIg0c6UlyD8ZzfHouI81TFZalPdumpo1dGBDRWYNkOJU","Трусы","T",9,NULL
"EQCxYfG1QTZgUJA4f80baVaYGFhNM8OBLkz6er_9-HT9wMfj","Boşkoin","BKN",9,"https://cdn.blum.codes/43e28fde-fdac-4615-a789-b7a3bd529d24/f019068a-2325-4a29-bdff-a8f292f6b7eb"
"EQDRmLlKxYMZKGFrqL0_cfw4F1f_AdnIR0jRrdFzDCTH936X","Soli","SO357",9,"https://cdn.blum.codes/128cff6a-6ec1-4571-98ae-def99c491b1b/8ee23ab7-bc68-4c51-9e96-567cb8e91694"
"EQCezQ06MUAPTspAqUJaMjnwAhe94N-tnaf-AiD6iTD6IA1D","Lbure","LBURE",9,NULL
"EQBhlVJsSooDbCFDztd4tFc1npMS_sJBj4_WqWWeOc_1LwJ4","Crpckcoin","CROCKCOIN",9,NULL
"EQBd6a_QB0kEzY-8ORBitZOiY1Iltdm70tlFa8blaGe7a5V9","Up market coin","UPM",9,NULL
"EQBEL8N-nLBU3VB9l0zgNyVQnKo7NOnc8gYG9g8ho18MViP8","Qwerty","QW",9,"https://cdn.blum.codes/374011ca-20f4-43f8-b294-a59801c3be5f/5c39aa94-2b3a-4bea-99af-19ee7fdea5a5"
"EQADI29iZe0e5HzhRBnDFaHanS7SADFqsdX64ZBuq4cUwIQ8","SUIMUI","SMI",9,"https://cdn.blum.codes/ebdc687f-ae2c-4b13-9ca7-2f6e871aa92e/dd162460-32f6-4ea7-9e35-37805eeab5f4"
"EQCoMjl5CoNPhEnuLsMUIQpXZP3Tvf856SwS8oa3Nd6JOs59","WIFI","WIFI",9,NULL
"EQApLoYV2cGfv6YhlNakLxGZGZtNjM23BImcak5q4267tl7S","ZukerLin","ZKL",9,NULL
"EQAVf2WWoCgTsUrcDK3ZLBiknvSovt4mM15bteWu-jBF9dpq","KBI Bank","BUTTOWSKI",9,NULL
"EQD3T94r6hPYzGoPnl7LTI7t4bHspnqXTJxKHreZvVK3YxKm","Mia Khalifa","MIA",9,"https://cdn.blum.codes/d82ea48d-df9f-4259-bb4a-0b330dfc0b2e/e9c11579-5fc8-4de4-805f-b27c993982da"
"EQAhRi-fMfHRQL31gIHXgC3_Of2_bAUHeiR9s4olOKPtxeTa","Yabaka","YAA",9,NULL
"EQDEwe5VrWJTyaNqzC9qo-vGz5GpJ3G8Czy56xsBvaS35EOT","Crystal Jesus","JSUS",9,NULL
"EQAqaQ4NocrUjrlmMOOftyoVTWJs-oP8v56QzOl05RFcG2RU","NFT","NFT",9,NULL
"EQAmbzPf0TEhk3bLK6abHivRVQE8RPBJsiahGNf6AKSxit89","EMERALD","ELD",9,NULL
"EQDaNqXCofrGSzw8aBIvB9_h4aCBZWcd1AcQQ9w9Gq3wWGvQ","Nibble INVEST","NI",9,NULL
"EQDZLUHlIOayQlp_JZZT92tBmt-S6QQ4s5cF0oGXVmHPiuWF","Fmcpay","FMCPAY",9,NULL
"EQBbAmF42j_L0hbCqud5JGj5sov7GBIh1G1fAgRu-XQDhkKX","Japan Dreams","JPDM",9,"https://cdn.blum.codes/d4945056-e2b5-48b0-a9f7-ed2bbd61d848/848e0375-faa5-4845-94b1-7b6f5f900e84"
"EQCjnOdC7wWxhOPQ_htpnnrvX6BjnJoYnOz5M98ono5JTO-t","breadcoin","BRCOIN",9,NULL
"EQAs7AiQgMvK97PZdZht5eo4GugHE9FcC1yYQNMWPXu4_f4a","Catt","CATT",9,NULL
"EQA4905EIbtzQOaTjurWG88Bst4cHgOuulDxR6EJRLJgoJi9","BITCOIN MEME ON TON","BTCONTON",9,NULL
"EQDFMGMxSa8_MTVgMy8s0zY6g2yCHy8UKvGGHF2abGiw8-rO","Blood Streams","BLOOD",9,NULL
